TIME	LOS ANGELES	SCORE	OKLAHOMA CITY
9:57	Metta World Peace makes 23-foot three point jumper (Derek Fisher assists)	50-51	 
9:37	 	50-53	Serge Ibaka makes jumper (Kevin Durant assists)
9:25	Derek Fisher bad pass (Russell Westbrook steals)	50-53	 
9:19	 	50-53	Russell Westbrook misses two point shot
9:17	 	50-53	Oklahoma City defensive team rebound
8:55	Andrew Bynum misses driving layup	50-53	 
8:53	 	50-53	Russell Westbrook defensive rebound
8:48	 	50-53	Kevin Durant misses 24-foot three point jumper
8:47	Andrew Bynum defensive rebound	50-53	 
8:22	Pau Gasol misses 9-foot two point shot	50-53	 
8:21	 	50-53	Serge Ibaka defensive rebound
8:11	 	50-53	Serge Ibaka misses jumper
8:08	Andrew Bynum defensive rebound	50-53	 
7:47	Metta World Peace misses 22-foot three point jumper	50-53	 
7:46	Los Angeles offensive team rebound	50-53	 
7:45	Kobe Bryant misses 13-foot jumper	50-53	 
7:45	Los Angeles offensive team rebound	50-53	 
7:45	shot clock turnover	50-53	 
7:33	 	50-55	Kevin Durant makes jumper (Russell Westbrook assists)
7:33	Metta World Peace shooting foul (Kevin Durant draws the foul)	50-55	 
7:33	 	50-56	Kevin Durant makes free throw 1 of 1
7:20	Derek Fisher misses 18-foot jumper	50-56	 
7:20	 	50-56	Serge Ibaka defensive rebound
7:13	 	50-56	Daequan Cook misses three point jumper
7:11	 	50-56	Oklahoma City defensive team rebound
6:54	Derek Fisher misses driving layup	50-56	 
6:54	 	50-56	Serge Ibaka defensive rebound
6:48	 	50-59	Daequan Cook makes 25-foot three point jumper (Russell Westbrook assists)
6:28	Pau Gasol makes 11-foot two point shot (Metta World Peace assists)	52-59	 
6:13	 	52-59	Daequan Cook misses three point jumper
6:13	Metta World Peace defensive rebound	52-59	 
6:00	 	52-59	Daequan Cook shooting foul (Kobe Bryant draws the foul)
6:00	Kobe Bryant misses free throw 1 of 2	52-59	 
6:00	Los Angeles offensive team rebound	52-59	 
6:00	Kobe Bryant makes free throw 2 of 2	53-59	 
5:45	 	53-59	Kevin Durant misses 9-foot two point shot
5:43	Pau Gasol defensive rebound	53-59	 
5:31	Pau Gasol bad pass	53-59	 
5:31	Oklahoma City full timeout
5:31	Troy Murphy enters the game for Andrew Bynum	53-59	 
5:31	Steve Blake enters the game for Derek Fisher	53-59	 
5:20	 	53-61	Kevin Durant makes two point shot (Russell Westbrook assists)
4:54	Pau Gasol misses running jumper	53-61	 
4:54	 	53-61	Serge Ibaka defensive rebound
4:41	 	53-63	Serge Ibaka makes 19-foot jumper (Kevin Durant assists)
4:18	Kobe Bryant misses 25-foot three point jumper	53-63	 
4:18	Troy Murphy offensive rebound	53-63	 
4:18	 	53-63	Russell Westbrook personal foul (Troy Murphy draws the foul)
4:18	 	53-63	James Harden enters the game for Daequan Cook
4:01	Kobe Bryant misses 16-foot two point shot	53-63	 
4:00	 	53-63	Serge Ibaka defensive rebound
3:48	 	53-63	Russell Westbrook misses two point shot
3:48	Pau Gasol defensive rebound	53-63	 
3:34	Kobe Bryant makes driving layup	55-63	 
3:34	 	55-63	Kendrick Perkins shooting foul (Kobe Bryant draws the foul)
3:34	 	55-63	Daequan Cook enters the game for Kendrick Perkins
3:34	Kobe Bryant makes free throw 1 of 1	56-63	 
3:21	 	56-65	Kevin Durant makes driving layup
3:02	 	56-65	James Harden shooting foul (Kobe Bryant draws the foul)
3:02	Kobe Bryant makes free throw 1 of 2	57-65	 
3:02	Andrew Bynum enters the game for Pau Gasol	57-65	 
3:02	Matt Barnes enters the game for Metta World Peace	57-65	 
3:02	Kobe Bryant makes free throw 2 of 2	58-65	 
2:43	 	58-67	Russell Westbrook makes 17-foot two point shot
2:25	Kevin Durant blocks Steve Blake's 23-foot three point jumper	58-67	 
2:24	 	58-67	Russell Westbrook defensive rebound
2:20	 	58-69	James Harden makes dunk (Kevin Durant assists)
2:18	Los Angeles full timeout
1:58	Andrew Bynum misses 4-foot two point shot	58-69	 
1:57	 	58-69	Kevin Durant defensive rebound
1:43	 	58-71	Daequan Cook makes 23-foot jumper (Kevin Durant assists)
1:21	 	58-71	Serge Ibaka personal foul (Andrew Bynum draws the foul)
1:21	Andrew Bynum makes free throw 1 of 2	59-71	 
1:21	 	59-71	Reggie Jackson enters the game for Russell Westbrook
1:21	Pau Gasol enters the game for Troy Murphy	59-71	 
1:21	Andrew Bynum makes free throw 2 of 2	60-71	 
1:10	 	60-71	James Harden bad pass (Pau Gasol steals)
0:55	Andrew Bynum misses 3-foot jumper	60-71	 
0:53	Andrew Bynum offensive rebound	60-71	 
0:53	Andrew Bynum misses tip shot	60-71	 
0:53	Pau Gasol offensive rebound	62-71	 
